idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
741913,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,15,0,3,0,3,19,15878015,BRSAL,BRARE,2501,"Granel Sólido",0,853,Desembarcados,"",0
761747,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,5,0,5,5,16374800,BRSAL,BRARE,2501,"Granel Sólido",0,931,Desembarcados,"",0
751573,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,3,16116200,BRSAL,BRARE,2501,"Granel Sólido",0,935,Desembarcados,"",0
784635,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,3,0,3,4,17027529,BRSAL,BRARE,2501,"Granel Sólido",0,778,Desembarcados,"",0
795752,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,71,0,3,0,4,75,17384468,BRSAL,BRARE,2501,"Granel Sólido",0,758,Desembarcados,"",0
760951,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,16353551,BRSAL,BRARE,2501,"Granel Sólido",0,769,Desembarcados,"",0
757021,BRARE,T1,"Areia Branca",2016,abr,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,3,16270765,BRSAL,BRARE,2501,"Granel Sólido",0,926,Desembarcados,"",0
792671,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,17285056,BRSAL,BRARE,2501,"Granel Sólido",0,695,Desembarcados,"",0
764475,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,14,0,3,0,3,18,16500201,BRSAL,BRARE,2501,"Granel Sólido",0,782,Desembarcados,"",0
783770,BRARE,T1,"Areia Branca",2016,ago,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,10,0,6,0,6,17,17005477,BRSAL,BRARE,2501,"Granel Sólido",0,782,Desembarcados,"",0
753537,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,2,0,3,3,16183069,BRSAL,BRARE,2501,"Granel Sólido",0,952,Desembarcados,"",0
792010,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,32,0,2,0,2,34,17275479,BRSAL,BRARE,2501,"Granel Sólido",0,563,Desembarcados,"",0
777745,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,3,0,3,4,16841244,BRSAL,BRARE,2501,"Granel Sólido",0,790,Desembarcados,"",0
797335,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,4,0,4,5,17416545,BRSAL,BRARE,2501,"Granel Sólido",0,674,Desembarcados,"",0
